name,volume,loops,channel,limit
kraken_slayer_passive_SFX_1, -7, 1, sound, 0
kraken_slayer_passive_SFX_2, -7, 1, sound, 0
kraken_slayer_passive_SFX_3, -7, 1, sound, 0
experimental_hexplate_passive_effect_SFX, 0, 1, sound, 0
stridebreaker_active_hit_SFX, -3, 1, sound, 0
stridebreaker_active_SFX, 0, 1, sound, 0
guardian_angel_passive_SFX, 3, 1, sound, 0
zhonyas_hourglass_activation_SFX, 3, 1, sound, 0
zhonyas_hourglass_ending_SFX, 3, 1, sound, 0
statikk_shiv_lighning_SFX_1, -4, 1, sound, 0
statikk_shiv_lighning_SFX_2, -4, 1, sound, 0
statikk_shiv_lighning_SFX_3, -4, 1, sound, 0
statikk_shiv_lighning_SFX_4, -4, 1, sound, 0
statikk_shiv_lighning_SFX_5, -4, 1, sound, 0
galeforce_active_SFX, 0, 1, sound, 0
galeforce_active_missile_hit_SFX, -3, 1, sound, 0
carefree_melody_SFX, 5, 1, sound, 0
FishbonesFireSFX1, 10, 1, sound, 0
FishbonesFireSFX2, 10, 1, sound, 0
FishbonesFireSFX3, 10, 1, sound, 0
FishbonesExplosionSFX1, 0, 1, sound, 0
FishbonesExplosionSFX2, 0, 1, sound, 0
FishbonesExplosionSFX3, 0, 1, sound, 0
SwitchToFishbones, 10, 1, sound, 0
SwitchToPowPow, 10, 1, sound, 0
hextech_rifle_atk_sfx_001, 7, 1, sound, 0
hextech_rifle_atk_sfx_002, 7, 1, sound, 0
hextech_rifle_atk_sfx_003, 7, 1, sound, 0
hextech_rifle_atk_sfx_004, 7, 1, sound, 0
hextech_rifle_headshot_sfx_001, 4, 1, sound, 0
hextech_rifle_headshot_sfx_002, 4, 1, sound, 0
shockSMG_fire_001, 7, 1, sound, 0
shockSMG_fire_002, 7, 1, sound, 0
shockSMG_fire_003, 7, 1, sound, 0
shockSMG_fire_004, 7, 1, sound, 0
shockSMG_fire_005, 7, 1, sound, 0
shockSMG_fire_006, 7, 1, sound, 0
Play_WPN_shockSMG1_impact_01, 0, 1, sound, 0
Play_WPN_shockSMG2_impact_01, 0, 1, sound, 0
Play_WPN_shockSMG3_impact_01, 0, 1, sound, 0
Play_WPN_shockSMG4_impact_01, 0, 1, sound, 0
